"Country","Region","Infant_deaths","Under_five_deaths","Adult_mortality","Alcohol_consumption","BMI","Incidents_HIV","Population_mln","Thinness_ten_nineteen_years","Thinness_five_nine_years","Schooling","Life_expectancy"
"Cabo Verde","Africa",22.1,26.3,133.3605,4.93,24.2,0.26,0.49,7.4,7.4,5.1,71.1
"Poland","European Union",6.8,7.8,142.2675,9.19,25.7,0.08,38.18,2.4,2.5,11.6,74.8
"Canada","North America",4.7,5.4,65.9695,8,26.9,0.1,35.7,0.6,0.5,13.1,81.9
"Ethiopia","Africa",69.5,108.9,338.17,0.21,20.1,0.65,76.35,11.5,11.2,1.9,56.2
"Venezuela, RB","South America",14.7,17.1,148.2105,7.4,26.6,0.4,28.44,1.6,1.5,8.9,73.1
"Namibia","Africa",34,47.9,328.32,2.59,24.1,4.5,2.27,8.6,8.5,6.7,61.4
"Ukraine","Rest of Europe",10.1,11.7,213.7115,7.77,26.3,0.28,45.87,2.4,2.5,11.3,70.3
"Equatorial Guinea","Africa",81.7,115.3,332.154,7.2,23.4,4.39,0.9,9.2,9.2,5.5,55.3
"Mongolia","Asia",22.1,26.3,230.153,7.73,25.4,0.02,2.72,2.2,2.3,9.5,67.4
"United States","North America",7,8.3,114.2395,8.25,27.7,0.13,284.97,0.8,0.6,12.7,76.8
"Belarus","Rest of Europe",8.5,10.9,260.3945,11.78,25.8,0.08,9.87,2.5,2.7,9.1,68.1
"Myanmar","Asia",47,61,204.845,1.09,22.2,0.32,50.99,13,13.3,4.3,64
"Grenada","Central America and Caribbean",14.3,16.2,141.3,8.2,26.9,0.4,0.11,3.8,3.8,8.7,72.4
"Nigeria","Africa",103.8,171.5,411.5985,11.09,22.5,1.21,128.6,13.8,13.8,5.2,46.8
"China","Asia",16.2,20.1,99.551,3.89,22.9,0.1,1317.89,4.7,4.1,7,73.6
"Venezuela, RB","South America",14.7,17.2,147.169,6.88,26.6,0.4,28.89,1.6,1.5,9.8,73.1
"Antigua and Barbuda","Central America and Caribbean",8.7,10.6,139.537,7.64,26,0.1,0.09,3.4,3.3,9.3,75.7
"Timor-Leste","Oceania",56,67.7,171.0075,0.062,20.5,0.07,1.06,11.7,11.7,4,66.3
"Afghanistan","Asia",74.6,104.1,271.4905,0.026,22.3,0.02,26.43,19.2,19.3,2.7,58.8
"Peru","South America",16.2,20.8,134.0135,5.04,25.9,0.16,28.79,1.2,1.2,8.4,74.1
"Guyana","South America",30,36.7,215.255,5.64,25.9,0.62,0.75,5.6,5.3,8.2,68.3
"Senegal","Africa",42.4,65.7,211.9,0.18,22.7,0.19,12.68,1.4,1.3,2.4,64.3
"Egypt, Arab Rep.","Africa",23.1,27.5,157.823,0.19,28.9,0.13,84.53,2.9,2.9,6.7,70.5
"Angola","Africa",118.2,198.4,361.129,1.94,21.8,1.36,16.95,1.7,1.7,4.4,47.1
"Italy","European Union",3,3.6,51.776,7.56,25.6,0.07,60.79,0.6,0.6,10.1,83.1
"Slovak Republic","European Union",5.6,6.8,120.157,10.27,26.1,0.01,5.4,1.2,1.3,12.1,76
"Algeria","Africa",22.1,25.8,98.739,0.5,25.3,0.03,38.14,5.9,5.8,7.8,75.7
"United Kingdom","Rest of Europe",5.1,6,79.5075,11.38,26.7,0.08,60.4,0.7,0.5,12.2,79
"El Salvador","Central America and Caribbean",23.5,28.1,213.592,2.91,26.4,0.35,5.99,2,1.9,5.7,69.7
"Cameroon","Africa",71.1,114.3,365.4865,5.72,23.9,2.13,19.79,6.3,6.3,5.2,54.6
"Albania","Rest of Europe",8.5,9.6,75.205,4.33,26.6,0.03,2.88,1.2,1.3,9.7,78
"Cameroon","Africa",59.5,92.4,345.615,4.7,24.2,1.24,22.68,5.7,5.7,6,57.1
"Lesotho","Africa",72.6,94.6,513.4755,3.07,24.9,10,2.06,5.5,5.3,6.1,51
"Rwanda","Africa",72.8,118.6,368.1215,7.83,21.2,2.27,8.68,6.9,7.1,2.7,53.6
"Switzerland","Rest of Europe",4.3,5.1,65.1225,10.15,25,0.08,7.44,0.6,0.4,12,81.2
"Mozambique","Africa",72.5,104.9,382.0835,0.79,22.3,3.5,23.53,3.7,3.6,3.2,52.3
"Cambodia","Asia",67.3,86.7,243.8905,0.75,20.8,0.51,12.64,11.6,11.8,3.3,60.3
"Liberia","Africa",85.3,121,294.2555,4.06,23.5,3.5,3.33,8.1,8.1,3.8,56.4
"Suriname","South America",24.9,28.2,207.3055,4.7,25.6,0.96,0.49,3.5,3.5,7.7,68.3
"Namibia","Africa",44.2,75.3,470.342,2.29,23,11.07,1.82,15.2,15.4,5.8,51.4
"Uganda","Africa",42.4,62.3,321.4315,8.12,22.2,2.45,35.69,5.7,5.7,5.4,59.9
"Nepal","Asia",40.1,50.8,186.7545,0.2,21.6,0.17,26.67,17,17.6,3.1,66.7
"Saudi Arabia","Middle East",7.8,9.1,87.974,0,28.4,0.13,31.72,7.8,7.6,9.5,74.7
"India","Asia",34.9,43.5,177.9465,3,21.7,0.06,1310.15,26.7,27.3,6.3,68.6
"Czechia","European Union",2.6,3.2,92.0385,12.83,26.9,0.08,10.51,1.8,1.9,12.4,78.1
"Luxembourg","European Union",3.3,4,98.426,12.88,25.7,0.07,0.45,1,0.9,10.7,78
"Cameroon","Africa",68.6,110.1,362.5215,5.88,24,1.87,20.34,6.1,6.2,5.3,55.1
"Cyprus","European Union",4.1,4.8,64.721,13.03,26.5,0.04,1.01,0.9,1,10.5,78.5
"Montenegro","Rest of Europe",6.3,7.4,118.42,10.17,26,0.03,0.62,2,2.1,11,75.1
"Peru","South America",18.2,23.4,137.505,4.51,25.7,0.18,28.33,1.2,1.2,8.1,73.5
"Djibouti","Africa",76.5,96.1,323.2315,1.11,23.6,1.78,0.75,6.2,6,3.4,57.2
"Colombia","South America",14.3,16.6,142.829,4.32,26,0.2,46.5,2.1,1.9,7.8,76.1
"Indonesia","Asia",25.9,31.2,181.1225,0.08,22.7,0.2,248.45,1.5,1.4,7.6,69.9
"South Africa","Africa",49.4,77.7,501.4985,7.2,26.5,11.64,47.29,12.6,15,8.8,53.4
"Lithuania","European Union",4,4.9,165.233,14.2,26.4,0.09,2.9,2.6,2.6,13,74.3
"Czechia","European Union",3.7,4.6,114.2985,13.42,26.6,0.08,10.2,2.1,2.2,11.6,75.7
"Italy","European Union",3.5,4.1,60.1245,7.96,25.7,0.08,58.83,0.5,0.5,9.5,81.5
"New Zealand","Oceania",5,6,70.233,9.45,27.7,0.04,4.38,0.3,0.3,12,80.9
"Nigeria","Africa",84.3,135.5,376.179,5.22,23,0.75,158.5,11.3,11.2,5.2,50.9
"Thailand","Asia",11.7,13.6,160.1755,6.19,23.8,0.23,67.2,8.2,8.3,7.7,74.2
"Bulgaria","European Union",9.5,11.4,148.4445,10.73,25.8,0.03,7.49,2.1,2.1,10.5,73
"Central African Republic","Africa",106.9,162.5,532.8745,1.6,21.9,3.09,3.96,9.9,9.9,3.2,44.4
"Honduras","Central America and Caribbean",29,35.3,169.61,2.61,24.9,0.43,6.75,2.7,2.7,4.4,71
"Haiti","Central America and Caribbean",61.3,83.2,271.8455,3.49,24.3,0.95,9.65,4.2,4.2,4.6,59.8
"Austria","European Union",3.2,3.9,67.3475,12.1,25.5,0.08,8.48,1.8,2,11.9,81.1
"Dominican Republic","Central America and Caribbean",32.4,40,186.951,6.72,24.9,1.02,8.47,3.8,3.7,6.4,69.4
"Djibouti","Africa",74.7,93.6,317.1835,0.52,23.6,1.16,0.76,6.1,5.9,3.5,57.4
"Rwanda","Africa",100,167.4,432.824,9.27,21,2.9,8.23,7.4,7.5,2.4,49.9
"Ghana","Africa",41.8,59.8,251.5445,1.78,23.8,0.88,26.61,6.6,6.4,6.9,62.1
"Malta","European Union",6.1,7,59.577,6.14,27.1,0.08,0.4,0.7,0.7,9.8,79.3
"Chile","South America",8.1,9.5,103.6575,6.37,26.9,0.14,15.85,1,1,9.4,77.1
"Saudi Arabia","Middle East",8.8,10.2,90.265,0,28.3,0.13,30.05,7.6,7.5,9.5,74.4
"Colombia","South America",13.8,16,141.448,4.22,26,0.19,46.97,2.1,1.9,8,76.3
"St. Vincent and the Grenadines","Central America and Caribbean",18.7,21.1,167.402,6.2,26.3,0.4,0.11,3.6,3.6,8.1,71.6
"Namibia","Africa",43.3,74.4,495.7265,2.29,23.2,9.74,1.88,14.2,14.3,5.8,50.6
"Togo","Africa",69.9,109.5,333.358,0.89,22.4,2.13,5.33,8.8,8.7,4.1,53.9
"Yemen, Rep.","Middle East",45.4,58.7,223.9525,0.03,23.6,0.03,25.82,13.7,13.5,3,66.1
"Bosnia and Herzegovina","Rest of Europe",5.8,6.7,100.353,4.83,25.5,0.08,3.6,2.5,2.5,8.3,76.4
"St. Lucia","Central America and Caribbean",19,21.4,138.0705,9.18,29.6,0.4,0.18,4.3,4.3,8.7,75.4
"Maldives","Asia",25.5,30.7,117.6445,1.82,23.4,0.17,0.29,14.6,14.7,3.2,71.7
"Armenia","Rest of Europe",14,15.6,128.387,3.92,26.2,0.08,2.9,2.1,2.1,11.4,74.1
"Uganda","Africa",65.6,107.1,441.99,11.3,21.6,3.78,27.68,6.5,6.5,4.4,51.7
"Cyprus","European Union",3,3.5,58.8095,10.81,26.7,0.05,1.1,0.9,1,11.3,79.2
"Afghanistan","Asia",85.3,121.1,298.8855,0.02,21.9,0.02,22.6,19.9,2.2,2.3,56.8
"Tonga","Oceania",11.8,13.7,145.4525,1.1,31.7,0.17,0.1,0.1,0.1,10.1,69.9
"Zimbabwe","Africa",50.4,91.6,703,1.96,23.4,10.27,11.98,9.8,9.9,6.8,43.2
"Luxembourg","European Union",3.7,4.5,100.072,13.21,25.6,0.06,0.44,1,1,10.3,77.9
"Antigua and Barbuda","Central America and Caribbean",8.3,10,137.808,7.16,26.1,0.1,0.09,3.3,3.3,9.2,75.8
"Burkina Faso","Africa",83.3,159.5,311.4595,5.51,21.3,0.63,13.03,1.5,1.1,1.3,52.6
"St. Lucia","Central America and Caribbean",16.1,18.6,154.8585,13.02,28,0.4,0.17,4.3,4.4,7.6,74.3
"Solomon Islands","Oceania",24.1,28.9,190.4555,1.01,25.4,0.17,0.48,1.3,1.3,4.9,69.5
"Turkmenistan","Asia",36.4,42.2,189.928,3.36,26.4,0.08,5.57,3.3,3.3,9.8,67.7
"Qatar","Middle East",8.9,10.4,63.957,1.08,28,0.05,0.87,4.8,4.5,8.8,78.3
"Nigeria","Africa",95,155,397.18,11.24,22.7,1.05,138.87,12.9,12.9,5.2,48.3
"Kenya","Africa",40.4,59.9,302.9805,1.17,22.8,2.21,40.9,8.2,8.1,6.1,59.9
"Lesotho","Africa",77.1,113,569.1065,2.91,24.5,14.53,1.99,8,7.8,5.4,43.4
"Indonesia","Asia",37.1,49.6,190.6185,0.054,22,0.2,223.29,1.9,1.9,7.3,67
"Vietnam","Asia",21.7,27.4,137.514,0.82,20.1,0.26,81.53,15.6,16.3,5.8,73.4
"Bahrain","Middle East",9.7,11.3,81.7285,2.04,25.4,0.05,0.78,6.1,5.9,8.4,75
"Paraguay","South America",26.2,31.6,164.433,4.49,25.3,0.17,5.63,2.4,2.3,7,71.2
"Antigua and Barbuda","Central America and Caribbean",6.5,7.8,130.0025,9.06,26.6,0.2,0.09,3.3,3.3,9.2,76.5
"Burundi","Africa",94.7,154.5,355.0185,7.17,20.6,1.55,6.38,9,8.9,1.8,49.1
"Fiji","Oceania",19.9,23.4,207.4675,2.07,26.8,0.05,0.83,4.1,3.8,9.3,66.4
"Malawi","Africa",36.7,53.3,294.858,2.04,22.8,2.59,16.75,6.4,6.2,4.4,62
"Guinea","Africa",83.9,134.7,318.5825,0.2,22.2,1.15,9.11,9.3,9.3,1.6,53.2
"Comoros","Africa",55.8,74.7,229.794,0.13,24.2,0.01,0.76,6.8,6.6,4.8,63.2
"Rwanda","Africa",37.1,52,215.093,6.15,21.9,0.75,10.81,5.9,5.9,3.8,66.2
"Antigua and Barbuda","Central America and Caribbean",7.9,9.5,136.0795,7.24,26.2,0.1,0.09,3.3,3.3,9.2,76
"Turkmenistan","Asia",40.6,47.4,210.7895,2.23,25.4,0.08,4.87,3.3,3.3,9.9,65.7
"Vanuatu","Oceania",24.1,28.8,150.659,1.17,25.8,0.17,0.22,1.5,1.5,6.6,68.8
"United Kingdom","Rest of Europe",4.8,5.6,78.4095,10.66,26.9,0.08,61.81,0.8,0.5,12.8,79.6
"Kyrgyz Republic","Asia",29.6,33.7,213.764,7.29,25.6,0.21,5.32,3.3,3.4,10.3,68.5
"Italy","European Union",3.1,3.7,53.267,7.35,25.6,0.07,60.23,0.5,0.6,10.3,82.7
"Czechia","European Union",2.5,3.1,83.987,12.75,27,0.08,10.53,1.8,1.9,12.8,78.8
"St. Vincent and the Grenadines","Central America and Caribbean",15.7,17.4,155.902,7.12,27,0.4,0.11,3.5,3.4,8.6,72
"Tanzania","Africa",74.4,121.9,448.1755,6.25,22.2,4.25,34.39,8.2,8.1,4.3,51.4
"Morocco","Africa",42.3,50.1,146.7395,0.45,24.7,0.06,29.13,6.7,6.5,3.5,69.2
"Estonia","European Union",4,5,153.3555,14.66,26.1,0.08,1.33,2,2,12.4,74.8
"El Salvador","Central America and Caribbean",15.8,18.5,192.7545,2.31,27.2,0.21,6.21,1.7,1.6,6.5,71.4
"Moldova","Rest of Europe",14.7,17.1,197.1175,6.92,26.6,0.42,2.86,2.8,3,11.1,69.6
"Myanmar","Asia",41,52.2,196.053,1.47,22.6,0.28,52.68,12.8,13,4.9,65.8
"Nepal","Asia",32,39.4,163.2835,0.28,22.1,0.17,26.92,16.1,16.5,4.2,68.8
"Tanzania","Africa",47.1,71.9,316.531,6.95,22.8,2.48,44.35,7.1,7.1,5.1,58.6
"Belarus","Rest of Europe",4.3,5.6,223.1685,14.43,26.3,0.22,9.48,2,2.2,12,70.4
"Jamaica","Central America and Caribbean",18.9,22.2,168.4155,3.77,25.5,0.87,2.65,2,1.9,7.3,74.1
"Rwanda","Africa",59.3,93.9,312.9135,8.79,21.4,1.86,9.04,6.8,6.8,2.9,57.1
"Tajikistan","Asia",54.2,65.2,164.6845,0.74,24.4,0.02,6.54,4,4,10.6,64.5
"Tonga","Oceania",11.1,12.9,140.5855,0.93,31.9,0.17,0.1,0.1,0.1,10.9,70.1
"Congo, Rep.","Africa",39.7,56.2,277.011,1.9,23,2.08,4.62,7.7,7.4,6.3,62
"Myanmar","Asia",42.3,54.1,197.7265,1.36,22.5,0.29,52.28,12.9,13.1,4.8,65.4
"Micronesia, Fed. Sts.","Oceania",29.4,35.9,182.694,2.79,28.9,0.17,0.11,0.2,0.2,5.3,64.9
"Seychelles","Africa",12.7,14.8,151.6085,8.7,26.6,3.5,0.09,5.7,6,9.5,74.3
"Bhutan","Asia",32.4,40,223.746,0.25,23.4,0.14,0.69,16.3,17,2.3,68.8
"Solomon Islands","Oceania",22.2,26.4,169.032,1.09,25.8,0.17,0.53,1.2,1.2,5.1,70.7
"Senegal","Africa",62.3,115.1,250.933,0.22,22.3,0.64,10.28,12,11.9,2.4,58.7
"Thailand","Asia",17.8,20.9,196.2075,5.84,23,0.6,63.54,9.3,9.6,6.3,70.8
"Netherlands","European Union",3.4,4,58.0775,8.3,25.5,0.04,16.94,1,0.9,12.1,81.5
"Portugal","European Union",3,3.6,76.9805,10.2,25.7,0.13,10.4,0.7,0.5,8.9,81.1
"Yemen, Rep.","Middle East",57.3,76.9,247.6745,0.06,22.7,0.02,19.54,13.9,13.9,1.7,62.9
"Suriname","South America",18.6,20.9,171.5365,5.39,26.4,0.51,0.55,3.5,3.5,8.2,71.1
"Guinea-Bissau","Africa",69.6,109.1,284.733,3.19,23.1,2.22,1.56,7.8,7.7,2.7,55.1
"Zambia","Africa",54.5,88.7,442.735,2.66,22,6.29,12.85,6.8,6.7,6.5,52.6
"Gambia, The","Africa",56.4,99.8,293.086,3.63,22.4,1.55,1.45,9.6,9.6,2.2,57.2
"United Arab Emirates","Middle East",7.2,8.4,72.9945,1.75,28.1,0.13,8.95,5.1,4.9,10,76.5
"Burundi","Africa",46.2,67.6,294.187,3.99,21.6,0.27,10.16,7.3,7.2,2.9,60.1
"United Arab Emirates","Middle East",7.6,8.9,75.597,1.76,27.9,0.13,7.92,5.1,4.9,9.7,76.1
"Hungary","European Union",5.5,6.5,166.717,11.75,26.6,0.08,10.04,1.9,1.9,11.5,73.7
"Malawi","Africa",42.2,63.4,315.314,2.02,22.7,3.32,15.84,6.5,6.4,4.4,59.9
"Eritrea","Africa",56.1,85.2,370.455,0.88,20.1,0.7,2.29,1.2,1.1,3.7,55.3
"Italy","European Union",3.2,3.8,55.1645,7.48,25.7,0.07,59.54,0.5,0.6,9.9,82.2
"Oman","Middle East",10,11.6,96.52,0.5,26,0.05,3.25,6.9,6.8,8.3,75.9
"Nepal","Asia",43.8,56.3,197.587,0.19,21.3,0.17,26.07,17.4,18,2.9,65.8
"Serbia","Rest of Europe",6.7,7.8,130.945,9.78,25.7,0.02,7.32,2.3,2.3,10.4,74
"France","European Union",3.1,4.1,77.9145,11.73,25,0.1,66,0.6,0.6,11.2,82.2
"Greece","European Union",3.4,3.9,74.8405,8.33,27.1,0.1,11.12,0.8,0.7,10.3,80.4
"Guyana","South America",34.7,43.2,226.301,8.75,25,0.93,0.75,5.8,5.6,7.8,66.1
"Nigeria","Africa",85.9,138.3,379.9755,10.58,22.9,0.79,154.32,11.7,11.6,5.2,50.4
"Bolivia","South America",31.2,39.2,196.6465,3.3,26,0.18,10.21,1.2,1.1,8,68.5
"Australia","Oceania",4,4.8,62.169,10.52,26.9,0.05,22.03,0.7,0.6,12.4,81.7
"Jordan","Middle East",17.6,20.7,116.897,0.56,28.5,0.13,6.89,3.8,3.8,9.9,73.3
"Timor-Leste","Oceania",51.4,61.5,164.1365,0.1,20.7,0.08,1.09,11.5,11.5,4.4,67.2
"Timor-Leste","Oceania",73,91.2,234.413,0.44,20.1,0.05,0.95,12.1,12.1,3,61.9
"Paraguay","South America",19.6,23,146.1335,5.39,26.5,0.14,6.6,2,1.9,8.2,73.5
"Suriname","South America",25.7,29.1,212.234,4.58,25.6,0.98,0.48,3.5,3.5,7.7,68.1
"China","Asia",11.5,14.6,90.7325,5.36,23.3,0.1,1345.04,4.1,3.5,7.4,74.7
"Serbia","Rest of Europe",6.2,7.1,121.4185,8.78,25.9,0.02,7.2,2.1,2.1,10.5,74.8
"Yemen, Rep.","Middle East",45.2,58.4,226.386,0.04,23.5,0.03,25.15,13.7,13.5,3,66
"Mozambique","Africa",61.3,84,332.583,1.22,22.7,3.5,27.04,3.6,3.5,3.5,57.2
"Poland","European Union",7.3,8.4,143.4055,8.02,25.5,0.08,38.23,2.5,2.6,11.4,74.5
"Bulgaria","European Union",6.9,8.2,136.0675,10.89,26.4,0.03,7.18,1.9,1.8,11.8,74.6
"China","Asia",19.4,24,102.5235,2.92,22.8,0.1,1303.72,5,4.4,6.9,73
"France","European Union",3.3,4.5,89.724,13.05,25,0.11,63.62,0.6,0.6,10.6,80.8
"Czechia","European Union",3,3.7,104.5205,13.65,26.7,0.08,10.38,1.9,2,12.2,77
"Sierra Leone","Africa",95.1,140.2,397.8705,3.06,22.7,0.85,7.17,7.4,7.3,3.4,52.9
"Qatar","Middle East",7.2,8.4,57.8825,1.03,28.8,0.06,2.34,5.1,4.7,9.9,79.5
"Burkina Faso","Africa",62.7,108.3,267.2085,5.49,22,0.23,17.07,8.4,7.9,1.4,58.9
"Sao Tome and Principe","Central America and Caribbean",48,71,217.479,5.93,23.7,1.08,0.15,7.6,7.6,4.3,62.7
"Mauritius","Africa",13,15.2,157.4485,3.23,24.9,1.05,1.24,7.5,7.4,7.6,72.6
"Kazakhstan","Asia",11.6,13,193.594,3.64,26.3,0.14,17.29,2.4,2.5,11.7,71.4
"Argentina","South America",11.9,13.3,121.2325,8,27.3,0.14,41.73,1,0.9,9.8,75.6
"Ireland","European Union",5.8,6.9,89.055,14.04,26.4,0.05,3.87,0.3,0.3,11,77.1
"Congo, Rep.","Africa",38.7,54.4,269.618,1.9,23.1,2.06,4.74,7.6,7.3,6.3,62.6
"Guinea","Africa",74.4,117.7,290.8,0.2,22.6,0.93,10.19,8.2,8.2,1.6,56.9
"Tonga","Oceania",14.2,16.5,156.677,1.34,31.3,0.17,0.1,0.1,0.1,9.1,69.7
"Rwanda","Africa",47,69.6,259.5265,7.3,21.6,1.09,9.78,6.6,6.4,3.3,62.1
"Mongolia","Asia",33.1,40.9,252.831,5.17,24.8,0.02,2.53,2.3,2.4,8.6,65.1
"Seychelles","Africa",11.8,13.7,178.6415,6.84,25.5,3.5,0.08,6.2,6.6,7.5,73.3
"Syrian Arab Republic","Middle East",16.8,19.7,116.383,0.79,27.3,0.13,18.36,6.5,6.3,5.8,74.4
"Latvia","European Union",10.2,12.6,225.2175,7.44,25.7,0.19,2.31,2.7,2.7,10.6,71
"France","European Union",3.3,4.6,91.6715,12.88,25,0.11,63.18,0.6,0.6,10.4,80.2
"Syrian Arab Republic","Middle East",25.6,41.6,178.1065,0.23,28.2,0.13,18,6.3,6.1,5.1,69.9
"Indonesia","Asia",32.4,39.9,189.1485,0.062,22.2,0.22,229.32,1.8,1.8,7.9,67.7
"United Arab Emirates","Middle East",6.8,8,70.6545,1.86,28.2,0.13,9.2,5.2,5,10.3,76.9
"Burkina Faso","Africa",68.1,121.5,280.9365,5.44,21.8,0.31,15.61,9,8.6,1.4,57.1
"Haiti","Central America and Caribbean",65.3,89.4,287.5005,3.49,23.9,1.14,9.2,4.4,4.4,4.3,58.7
"Mali","Africa",81.1,140.2,289.566,0.58,22.4,0.62,14.11,9.2,9,1.9,54.2
"Cambodia","Asia",30.3,35.3,182.9515,2.8,21.9,0.11,15.03,11,11.1,4.6,67.9
"Eswatini","Africa",67.8,112.2,559.1865,6.8,25.5,21.68,1.01,9.4,9.6,3.9,47.5
"Kyrgyz Republic","Asia",27.8,31.6,206.2885,5.98,25.7,0.21,5.38,3.3,3.4,10.4,69.1
"Grenada","Central America and Caribbean",12.9,15.5,179.4865,9.21,25.3,0.4,0.1,4.3,4.2,7.4,72.6
"Guyana","South America",31.7,39,219.435,5.83,25.6,0.71,0.75,5.6,5.4,8,67.5
"Micronesia, Fed. Sts.","Oceania",27.8,33.7,172.001,2.05,29.3,0.17,0.1,0.2,0.2,7,66.3
"Barbados","Central America and Caribbean",13.7,14.8,104.765,8.69,27.4,0.35,0.28,3.8,3.8,9.9,78.5
"Kiribati","Oceania",49.5,64.8,215.9625,0.44,29,0.17,0.09,0.2,0.2,7.1,64
"Bahrain","Middle East",8.4,9.8,73.874,1.83,25.1,0.05,1.04,6.1,5.9,8.4,75.6
"Colombia","South America",17.8,20.8,155.343,4.43,25.4,0.21,43.2,2.3,2.1,6.7,74.5
"Germany","European Union",3.4,4,73.3235,11.32,26.4,0.03,80.43,1.1,1.1,14,80.5
"Fiji","Oceania",19.1,22.4,219.344,2.46,26.3,0.03,0.81,4.3,4,9.6,65.7
"India","Asia",36.9,46.2,180.388,3,21.7,0.07,1295.6,26.8,27.4,6.1,68.3
"Venezuela, RB","South America",16.4,19.1,155.121,7.58,26.4,0.4,26,1.7,1.6,7.2,72.7
"Belgium","European Union",4,4.8,86.023,10.94,25.8,0.08,10.55,0.8,0.8,11.1,79.4
"Slovak Republic","European Union",5.2,6.4,108.859,10.26,26.3,0.01,5.42,1.2,1.2,12.3,76.8
"Antigua and Barbuda","Central America and Caribbean",9.6,11.7,142.994,8.11,25.8,0.1,0.08,3.4,3.3,9.2,75.4
"El Salvador","Central America and Caribbean",13.3,15.5,182.1595,2.54,27.6,0.18,6.33,1.6,1.5,6.6,72.4
"Panama","Central America and Caribbean",14.6,17,114.701,6.84,26.8,0.4,3.97,1.9,1.8,9.9,77.8
"Bulgaria","European Union",9,10.8,142.4175,9.82,26,0.03,7.4,2,2,10.6,73.5
"Mozambique","Africa",64.7,92.3,356.677,1,22.5,3.5,25.56,3.6,3.5,3.4,54.9
"Croatia","European Union",5.8,6.7,112.169,10.72,26.1,0.02,4.31,1.8,1.8,9.7,75.2
"Libya","Africa",21,24.4,137.419,0.012,27.1,0.07,5.71,5.5,5.4,6.3,71.7
"Bolivia","South America",55.9,75.6,240.0465,2.3,24.7,0.26,8.42,1.5,1.4,7.4,62.5
"Maldives","Asia",22.8,27.1,109.936,1.95,23.5,0.17,0.3,14.6,14.7,3.3,72.4
"Vanuatu","Oceania",23.6,28.2,161.244,0.89,25.7,0.17,0.21,1.6,1.5,6.5,68.4
"Eswatini","Africa",50.1,62.4,443.15,7.28,26.7,15.74,1.1,4.3,4.3,6.5,53.6
"Iraq","Middle East",35.6,44.5,163.596,0.22,27,0.13,23.5,5.6,5.4,5,69.1
"Liberia","Africa",111.9,163.7,344.857,4.29,23.2,3.5,3.02,8.8,8.9,3.6,52.8
"Guinea-Bissau","Africa",64.3,99.7,277.9945,2.95,23.2,1.82,1.65,7.5,7.3,2.8,56.1
"Cote d'Ivoire","Africa",72.9,103.1,416.7045,1.14,23.5,1.16,21.03,6.1,6,4.4,53.6
"Haiti","Central America and Caribbean",60,81.2,267.026,3.53,24.5,0.9,9.8,4.1,4.1,4.7,60.1
"Togo","Africa",71.8,112.9,334.717,0.86,22.2,2.34,5.2,9,8.9,4.1,53.7
"Bahamas, The","Central America and Caribbean",13.9,16.2,172.336,9.65,27.4,0.53,0.34,2.5,2.5,10.9,72
"Nicaragua","Central America and Caribbean",19.5,22.9,157.757,3.34,26.8,0.12,5.9,1.8,1.8,6.1,72.7
"Trinidad and Tobago","Central America and Caribbean",19.5,21.8,174.802,5.79,27.1,0.4,1.34,5.9,6.2,10.8,72.2
"Samoa","Oceania",18.8,25.7,133.7445,2.88,31.4,0.17,0.18,0.2,0.2,9.9,71.4
"Djibouti","Africa",72.9,91.1,311.1355,0.51,23.7,0.85,0.77,6,5.9,3.6,57.7
"Zimbabwe","Africa",54.5,94.5,594.7345,2.82,23.6,7.81,12.38,7.8,7.8,7,46.5
"Liberia","Africa",74.2,103.6,272.1635,3.76,23.7,3.5,3.75,7.6,7.4,4,59
"Jordan","Middle East",15,17.5,109.942,0.3,28.9,0.13,9.27,4,4,10.3,74.1
"Latvia","European Union",7.3,8.8,198.7445,11.84,26.2,0.19,2.18,2.3,2.4,12.2,72.4
"Bangladesh","Asia",60,81.1,166.197,0.004,20.3,0.01,130.09,2.7,21.3,4.3,66
"Moldova","Rest of Europe",15.7,18.3,228.2265,7.81,26.4,0.44,2.87,3,3.2,10.9,68.3
"Grenada","Central America and Caribbean",13,15.1,151.4055,7.71,26.4,0.4,0.11,3.8,3.8,8.3,72.9
"Tanzania","Africa",40.9,58.1,239.667,7.86,23.1,2.01,51.48,6.7,6.5,5.8,63.1
"Kuwait","Middle East",7.7,8.9,59.3025,0,29.4,0.13,3.69,3.4,3.4,6.9,75
"Gabon","Africa",36.1,50.3,238.5125,8.06,25.2,1.09,1.95,6.1,5.9,8.1,64.9
"Mozambique","Africa",100.3,152.6,445.308,0.66,21.7,3.5,18.76,4,4,2.5,49.6
"Senegal","Africa",67.7,129.5,250.914,0.24,22.1,0.68,9.8,12.3,12.3,1.9,57.8
"Armenia","Rest of Europe",15.5,17.3,133.0115,4.07,26.1,0.08,2.88,2,2.1,11.2,73.6
"Belgium","European Union",4.6,5.6,97.8795,11.01,25.5,0.08,10.29,0.8,0.8,10.2,78
"Cyprus","European Union",2.7,3.2,56.015,10.71,26.8,0.06,1.12,0.9,1,11.6,79.6
"Lebanon","Middle East",12.1,14.1,81.015,1.73,26.7,0.03,4.7,4.7,4.6,7.5,76.9
"Ireland","European Union",4.4,5.2,77.6135,13.06,26.8,0.06,4.16,0.3,0.2,11.7,78.9
