"Country","Region","Life_expectancy","Life-Expectancy (High/Low/Avg)"
"Mozambique","Africa",49.9,"Average"
"Senegal","Africa",65.4,"Average"
"Togo","Africa",59.9,"Average"
"Libya","Africa",71,"High"
"Madagascar","Africa",64.7,"Average"
"Cabo Verde","Africa",70.7,"High"
"Algeria","Africa",71.1,"High"
"Seychelles","Africa",73.1,"High"
"Tunisia","Africa",73.2,"High"
"Congo, Rep.","Africa",60.8,"Average"
"Guinea","Africa",58.4,"Average"
"Guinea-Bissau","Africa",56.6,"Average"
"Burundi","Africa",56.5,"Average"
"Namibia","Africa",50.9,"Average"
"Somalia","Africa",53,"Average"
"Congo, Dem. Rep.","Africa",57.4,"Average"
"Ethiopia","Africa",59.6,"Average"
"Senegal","Africa",62.1,"Average"
"Comoros","Africa",61.1,"Average"
"Zimbabwe","Africa",43.5,"Average"
"Mali","Africa",53.6,"Average"
"Eswatini","Africa",48.1,"Average"
"Ghana","Africa",57.2,"Average"
"South Africa","Africa",54.3,"Average"
"Mozambique","Africa",51.7,"Average"
"Equatorial Guinea","Africa",53.8,"Average"
"Tunisia","Africa",74.7,"High"
"Zambia","Africa",54.1,"Average"
"Egypt, Arab Rep.","Africa",69,"Average"
"Botswana","Africa",58.4,"Average"
"Cabo Verde","Africa",71.7,"High"
"Angola","Africa",53.2,"Average"
"Chad","Africa",50.9,"Average"
"Nigeria","Africa",46.3,"Average"
"Mauritania","Africa",63.1,"Average"
"Burkina Faso","Africa",51.4,"Average"
"Congo, Rep.","Africa",60.1,"Average"
"Guinea","Africa",51.5,"Average"
"Niger","Africa",53.4,"Average"
"Benin","Africa",59.6,"Average"
"Cote d'Ivoire","Africa",56.1,"Average"
"Burundi","Africa",52.5,"Average"
"Angola","Africa",49.3,"Average"
"Benin","Africa",59.3,"Average"
"Cote d'Ivoire","Africa",50.1,"Average"
"Angola","Africa",55.4,"Average"
"Tunisia","Africa",74.6,"High"
"Algeria","Africa",70.6,"High"
"Rwanda","Africa",63.4,"Average"
"Madagascar","Africa",65.1,"Average"
"Comoros","Africa",61.9,"Average"
"Kenya","Africa",50.9,"Average"
"Burkina Faso","Africa",59.9,"Average"
"Liberia","Africa",57.4,"Average"
"Tanzania","Africa",50.8,"Average"
"Morocco","Africa",70.4,"High"
"Mozambique","Africa",51.3,"Average"
"Chad","Africa",47.8,"Average"
"Tunisia","Africa",75.4,"High"
"Seychelles","Africa",72.8,"High"
"Mali","Africa",57.5,"Average"
"Djibouti","Africa",63.2,"Average"
"Rwanda","Africa",52.2,"Average"
"Congo, Dem. Rep.","Africa",58.8,"Average"
"Zambia","Africa",51.1,"Average"
"Senegal","Africa",59.9,"Average"
"Gabon","Africa",58.3,"Average"
"Burundi","Africa",51.7,"Average"
"Mali","Africa",52.8,"Average"
"Lesotho","Africa",43.8,"Average"
"Morocco","Africa",75,"High"
"Namibia","Africa",53.8,"Average"
"Cote d'Ivoire","Africa",55.5,"Average"
"Burkina Faso","Africa",52,"Average"
"Ethiopia","Africa",65,"Average"
"Burkina Faso","Africa",55.6,"Average"
"Gambia, The","Africa",60.4,"Average"
"Uganda","Africa",57.1,"Average"
"Morocco","Africa",71.7,"High"
"Zimbabwe","Africa",43.2,"Average"
"Ethiopia","Africa",51.9,"Average"
"Sierra Leone","Africa",50.2,"Average"
"South Africa","Africa",62.6,"Average"
"Tunisia","Africa",75.9,"High"
"Uganda","Africa",50.6,"Average"
"Sierra Leone","Africa",43.5,"Average"
"Equatorial Guinea","Africa",54.4,"Average"
"Benin","Africa",57.8,"Average"
"Somalia","Africa",51.5,"Average"
"Algeria","Africa",74.9,"High"
"Madagascar","Africa",62.1,"Average"
"Zimbabwe","Africa",44.9,"Average"
"Mauritania","Africa",62.3,"Average"
"Chad","Africa",52.4,"Average"
"Tunisia","Africa",74,"High"
"Zimbabwe","Africa",50.6,"Average"
"Sierra Leone","Africa",42.4,"Average"
"Togo","Africa",57.5,"Average"
"Liberia","Africa",60.1,"Average"
"Congo, Dem. Rep.","Africa",56.9,"Average"
"Mauritius","Africa",72.4,"High"
"Egypt, Arab Rep.","Africa",70.9,"High"
"Botswana","Africa",50.5,"Average"
"Tunisia","Africa",74.2,"High"
"Angola","Africa",54.3,"Average"
"Tunisia","Africa",73.8,"High"
"Guinea-Bissau","Africa",51.1,"Average"
"Gabon","Africa",61.4,"Average"
"Djibouti","Africa",58.7,"Average"
"Djibouti","Africa",64.1,"Average"
"Central African Republic","Africa",47.3,"Average"
"Seychelles","Africa",72.7,"High"
"Burkina Faso","Africa",54.1,"Average"
"Mozambique","Africa",50.1,"Average"
"Nigeria","Africa",51.8,"Average"
"Niger","Africa",49.9,"Average"
